Wafer,Wafernum,Device,stepped_1,RW,RMmm,DPR,Rn,Nf,RfE,RfEmm,d,Short_1,py,px,|p|,d2,Bias
SMA1,1,A3,0,5700,57,3,3,60,1800,18,3.225080645,0,20.1,28.5,34.87491935,3.225080645,1
SMA1,1,B2,0,7100,71,5,2,40,3000,30,14.23140138,1,8.1,-7.1,10.77125805,27.32874195,1
SMA1,1,B3,0,7100,71,5,3,40,3000,30,9.433643413,0,8.1,7.1,10.77125805,27.32874195,1
SMA1,1,B4,0,7100,71,5,4,40,3000,30,5.330959733,0,8.1,21.3,22.78815482,15.31184518,1
SMA1,1,B5,0,7100,71,5,5,40,3000,30,1.687639461,0,8.1,35.5,36.41236054,1.687639461,1
SMA1,1,C1,0,7300,73,5,1,70,3700,37,21.73968215,0,1.1,-21.9,21.92760817,16.17239183,1
SMA1,1,C2,0,7300,73,5,2,70,3700,37,14.98918002,0,1.1,-7.3,7.38241153,30.71758847,1
SMA1,1,C3,0,7300,73,5,3,70,3700,37,9.805830989,1,1.1,7.3,7.38241153,30.71758847,1
SMA1,1,C5,0,7300,73,5,5,70,3700,37,1.583428419,0,1.1,36.5,36.51657158,1.583428419,1
SMA1,1,D2,0,7300,73,7,2,20,3600,36,18.47723625,0,2.1,-15.64285714,15.78318661,22.31681339,1
SMA1,1,D3,0,7300,73,7,3,20,3600,36,14.11303926,0,2.1,-5.214285714,5.621278814,32.47872119,1
SMA1,1,D5,0,7300,73,7,5,20,3600,36,7.180473114,0,2.1,15.64285714,15.78318661,22.31681339,1
SMA1,1,D6,0,7300,73,7,6,20,3600,36,4.242377942,0,2.1,26.07142857,26.15586718,11.94413282,1
SMA1,1,D7,0,7300,73,7,7,20,3600,36,1.539638951,0,2.1,36.5,36.56036105,1.539638951,1
SMA1,1,E1,0,6900,69,4,1,20,2600,26,17.02934505,0,12.1,-17.25,21.07065495,17.02934505,1
SMA1,1,E2,0,6900,69,4,2,20,2600,26,10.86885974,0,12.1,0,12.1,26,1
SMA1,1,E4,0,6900,69,4,4,20,2600,26,1.539638951,0,12.1,34.5,36.56036105,1.539638951,1
SMA1,1,F1,0,6600,66,4,1,70,2000,20,13.60796048,0,18.1,-16.5,24.49203952,13.60796048,1
SMA1,1,F2,0,6600,66,4,2,70,2000,20,8.568491403,0,18.1,0,18.1,20,1
SMA1,1,F3,0,6600,66,4,3,70,2000,20,4.271609556,0,18.1,16.5,24.49203952,13.60796048,1
B,2,A2,1,5200,52,5,2,35,1000,10,5.542205234,0,28.1,-5.2,28.57708873,9.522911275,1
B,2,B3,1,6400,64,7,3,25,1900,19,9.750976333,1,19.1,-4.571428571,19.63944905,18.46055095,1
B,2,B4,1,6400,64,7,4,25,1900,19,7.278694753,1,19.1,4.571428571,19.63944905,18.46055095,1
B,2,B5,1,6400,64,7,5,25,1900,19,4.990506325,1,19.1,13.71428571,23.5136478,14.5863522,1
B,2,B6,1,6400,64,7,6,25,1900,19,2.850542051,1,19.1,22.85714286,29.78689275,8.313107252,1
B,2,B7,1,6400,64,7,7,25,1900,19,0.833258796,1,19.1,32,37.2667412,0.833258796,1
B,2,C1,1,7400,74,7,1,20,3000,30,21.93889148,0,8.1,-26.42857143,27.64198596,10.45801404,1
B,2,C2,1,7400,74,7,2,20,3000,30,16.72822288,1,8.1,-15.85714286,17.80615005,20.29384995,1
B,2,C3,1,7400,74,7,3,20,3000,30,12.55936012,1,8.1,-5.285714286,9.672061596,28.4279384,1
B,2,C4,1,7400,74,7,4,20,3000,30,8.981351091,0,8.1,5.285714286,9.672061596,28.4279384,1
B,2,C5,1,7400,74,7,5,20,3000,30,5.797257967,1,8.1,15.85714286,17.80615005,20.29384995,1
B,2,C6,1,7400,74,7,6,20,3000,30,2.900020292,1,8.1,26.42857143,27.64198596,10.45801404,1
B,2,D1,1,4300,43,4,1,20,2800,28,23.34966102,0,10.1,-10.75,14.75033898,23.34966102,1
B,2,D2,1,4300,43,4,2,20,2800,28,19.84801381,0,10.1,0,10.1,28,1
B,2,A1,0,5200,52,5,1,35,1000,10,7.68931109,0,28.1,-15.6,32.13985065,5.960149347,1
B,2,A2,0,5200,52,5,2,35,1000,10,5.542205234,0,28.1,-5.2,28.57708873,9.522911275,1
B,2,A3,0,5200,52,5,3,35,1000,10,3.528190675,0,28.1,5.2,28.57708873,9.522911275,1
B,2,A4,0,5200,52,5,4,35,1000,10,1.625214188,0,28.1,15.6,32.13985065,5.960149347,1
B,2,A5,0,5200,52,5,5,35,1000,10,0.18328617,0,28.1,26,38.28328617,-0.18328617,1
B,2,B3,0,6400,64,7,3,25,1900,19,9.750976333,1,19.1,-4.571428571,19.63944905,18.46055095,1
B,2,B4,0,6400,64,7,4,25,1900,19,7.278694753,1,19.1,4.571428571,19.63944905,18.46055095,1
B,2,B5,0,6400,64,7,5,25,1900,19,4.990506325,1,19.1,13.71428571,23.5136478,14.5863522,1
B,2,B6,0,6400,64,7,6,25,1900,19,2.850542051,1,19.1,22.85714286,29.78689275,8.313107252,1
B,2,B7,0,6400,64,7,7,25,1900,19,0.833258796,0,19.1,32,37.2667412,0.833258796,1
B,2,C1,0,7400,74,7,1,20,3000,30,21.93889148,0,8.1,-26.42857143,27.64198596,10.45801404,1
B,2,C2,0,7400,74,7,2,20,3000,30,16.72822288,1,8.1,-15.85714286,17.80615005,20.29384995,1
B,2,C3,0,7400,74,7,3,20,3000,30,12.55936012,0,8.1,-5.285714286,9.672061596,28.4279384,1
B,2,C4,0,7400,74,7,4,20,3000,30,8.981351091,0,8.1,5.285714286,9.672061596,28.4279384,1
B,2,C5,0,7400,74,7,5,20,3000,30,5.797257967,1,8.1,15.85714286,17.80615005,20.29384995,1
B,2,C6,0,7400,74,7,6,20,3000,30,2.900020292,1,8.1,26.42857143,27.64198596,10.45801404,1
B,2,D1,0,4300,43,4,1,20,2800,28,23.34966102,0,10.1,-10.75,14.75033898,23.34966102,1
B,2,D2,0,4300,43,4,2,20,2800,28,19.84801381,0,10.1,0,10.1,28,1
A,3,A1,1,7000,70,8,1,35,2500,25,20.0795949,0,13.1,-26.25,29.33722039,8.762779614,1
A,3,A2,1,7000,70,8,2,35,2500,25,16.23999085,0,13.1,-17.5,21.86000915,16.23999085,1
A,3,A3,1,7000,70,8,3,35,2500,25,12.9805852,0,13.1,-8.75,15.75349168,22.34650832,1
A,3,A4,1,7000,70,8,4,35,2500,25,10.09803578,0,13.1,0,13.1,25,1
A,3,A5,1,7000,70,8,5,35,2500,25,7.485705953,1,13.1,8.75,15.75349168,22.34650832,1
A,3,A6,1,7000,70,8,6,40,2500,25,5.079400369,0,13.1,17.5,21.86000915,16.23999085,1
A,3,A7,1,7000,70,8,7,40,2500,25,2.836917321,0,13.1,26.25,29.33722039,8.762779614,1
A,3,A8,1,7000,70,8,8,40,2500,25,0.728754369,0,13.1,35,37.37124563,0.728754369,1
A,3,B2,1,7100,71,8,2,60,3000,30,18.58916967,1,8.1,-17.75,19.51083033,18.58916967,1
A,3,B3,1,7100,71,8,3,60,3000,30,14.90078126,1,8.1,-8.875,12.01564085,26.08435915,1
A,3,B4,1,7100,71,8,4,60,3000,30,11.72321096,1,8.1,0,8.1,30,1
A,3,B5,1,7100,71,8,5,60,3000,30,8.889278509,1,8.1,8.875,12.01564085,26.08435915,1
A,3,B6,1,7100,71,8,6,60,3000,30,6.306958308,1,8.1,17.75,19.51083033,18.58916967,1
A,3,B7,1,7100,71,8,7,60,3000,30,3.919175697,1,8.1,26.625,27.82985133,10.27014867,1
A,3,C2,1,7000,70,8,2,70,3200,32,19.56732615,1,6.1,-17.5,18.53267385,19.56732615,1
A,3,C3,1,7000,70,8,3,70,3200,32,15.81581278,1,6.1,-8.75,10.66641927,27.43358073,1
A,3,C4,1,7000,70,8,4,70,3200,32,12.61059043,1,6.1,0,6.1,32,1
A,3,C5,1,7000,70,8,5,70,3200,32,9.765656881,1,6.1,8.75,10.66641927,27.43358073,1
A,3,C6,1,7000,70,8,6,70,3200,32,7.181397186,1,6.1,17.5,18.53267385,19.56732615,1
A,3,C7,1,7000,70,8,7,70,3200,32,4.797072201,0,6.1,26.25,26.94944341,11.15055659,1
A,3,A1,0,7000,70,8,1,30,2500,25,20.0795949,0,13.1,-26.25,29.33722039,8.762779614,1
A,3,A2,0,7000,70,8,2,30,2500,25,16.23999085,0,13.1,-17.5,21.86000915,16.23999085,1
A,3,A3,0,7000,70,8,3,30,2500,25,12.9805852,0,13.1,-8.75,15.75349168,22.34650832,1
A,3,A4,0,7000,70,8,4,30,2500,25,10.09803578,0,13.1,0,13.1,25,1
A,3,A5,0,7000,70,8,5,30,2500,25,7.485705953,0,13.1,8.75,15.75349168,22.34650832,1
A,3,A6,0,7000,70,8,6,30,2500,25,5.079400369,0,13.1,17.5,21.86000915,16.23999085,1
A,3,A7,0,7000,70,8,7,30,2500,25,2.836917321,0,13.1,26.25,29.33722039,8.762779614,1
A,3,A8,0,7000,70,8,8,30,2500,25,0.728754369,0,13.1,35,37.37124563,0.728754369,1
A,3,B2,0,7100,71,8,2,60,3000,30,18.58916967,1,8.1,-17.75,19.51083033,18.58916967,1
A,3,B3,0,7100,71,8,3,60,3000,30,14.90078126,1,8.1,-8.875,12.01564085,26.08435915,1
A,3,B4,0,7100,71,8,4,60,3000,30,11.72321096,1,8.1,0,8.1,30,1
A,3,B5,0,7100,71,8,5,60,3000,30,8.889278509,1,8.1,8.875,12.01564085,26.08435915,1
A,3,B6,0,7100,71,8,6,60,3000,30,6.306958308,1,8.1,17.75,19.51083033,18.58916967,1
A,3,B7,0,7100,71,8,7,60,3000,30,3.919175697,0,8.1,26.625,27.82985133,10.27014867,1
A,3,B8,0,7100,71,8,8,60,3000,30,1.687639461,0,8.1,35.5,36.41236054,1.687639461,1
A,3,C1,0,7000,70,8,1,60,3200,32,24.30380487,0,6.1,-26.25,26.94944341,11.15055659,1
A,3,C2,0,7000,70,8,2,60,3200,32,19.56732615,0,6.1,-17.5,18.53267385,19.56732615,1
A,3,C3,0,7000,70,8,3,60,3200,32,15.81581278,0,6.1,-8.75,10.66641927,27.43358073,1
A,3,C4,0,7000,70,8,4,60,3200,32,12.61059043,0,6.1,0,6.1,32,1
A,3,C5,0,7000,70,8,5,60,3200,32,9.765656881,0,6.1,8.75,10.66641927,27.43358073,1
A,3,C6,0,7000,70,8,6,60,3200,32,7.181397186,0,6.1,17.5,18.53267385,19.56732615,1
A,3,C7,0,7000,70,8,7,60,3200,32,4.797072201,1,6.1,26.25,26.94944341,11.15055659,1
A,3,C8,0,7000,70,8,8,60,3200,32,2.572405091,0,6.1,35,35.52759491,2.572405091,1
